"id","author_id","author_name","bibliography","transcript","token_sequence","token"
"1","224","0","106","5","1","[...] daβ esferne von uns liegt, [...] Euch zu zwingen freue Republikaner zu werden, wenn Ihr Unterthanen bleiben willt.“ (citing Herwegh 20:21-22)"
"2","224","0","106","5","2","Germans in France and Switzerland and the German people (citing Herwegh 19:7-8)"
"3","224","0","106","5","3","„[...] das gröβere Publikum über die wahren Intentionen der deutschen, demokratischen Legion zu unterrichte, und den Verläumdungen, zu deren Hauptzielscheibe sich deutsche Patrioten Herwegh ausersehen, durch die ungeschminkte Wahrheit, die einzige würdige, einzige vernichtende Waffe entgegenzusetzen.“ (52:10-15)"
"4","224","0","106","5","4","„Sie konnten nicht begreifen, daβ trotz der Gleichheit der Gesinnung, der Unterschied der Kleidung genügen würde [...] unser ganzes Unternehmen scheitern zu machne.“ (16:19-22)"
"5","224","0","106","5","5","„die fremde Horde, die Räuberbande aus Frankreich“ (16:31-32)"
"6","224","0","106","5","6","„Wir gedachten niemals als Feinde auf deutschen Boden zu treten, niemals Euch die Freiheit aufzudringen, niemals Euren freien Willen zu beschränken, noch Euer Eigenthum anztasten.“ (citing Herweg (19:39-40; 20:1-2)"
"7","224","0","106","5","7","Herwegh as „glänzendes Aushängeschild benutzen wollten. „ (54:2)"
"8","224","0","106","5","8","„Gerüchte“(15:16)"
"9","224","0","106","5","9","„lügenhafte Berichten“ (16:37) „[...] – aber die Mehrzal [...] glaubt ja viel lieber an das Schlechte, [...]“ (16:38-39)"
"10","224","0","106","5","10","„wahren Intentionen der Legion“ (19:4) following a proclamation of Georg Hewegh."
"11","224","0","106","5","11","documents are prepared for tactical reasons and published according the outcome of an event (27:1-10)"
"12","224","0","106","5","12","Neutrality as a tactical tool (26:20-30) "
"13","224","0","106","5","13","“das wahre Ziel unseres Wirkens” (28:1) “im Namen der Freiheit” (28:7) "
"14","224","0","106","5","14","„von falschen Gerüchten wimmelt“ (29:5)"
"15","224","0","106","5","15","Emma’s authority „[...] die Herwegh vom Anfang bis zum Schluβ der Expedition keinen Augenblick aus den Augen verloren und Zeuge jedes Wortes gewesen war, das er gesprochen hatte.“ (52:18-21)"
"16","224","0","106","5","16","„nicht jeder Mensch kann wahr sein.“ (53:2)"
"17","224","0","106","5","17","considering the geopolitical situation: „Der andern Mächte! als wenn für Republikaner eine andere als die Volkssouverainität existire“ (27:21-23)"
"18","224","0","106","5","18","„Hinaus! in diesem stürmischen Ruf lag aller Verstand“ (15:3) „[...] Deutsche die aus dem reiflichen Ueberlegen nicht selten ihr Métier machen,[...]“ (15:5-6)"
"19","224","0","106","5","19","„Der Unverstand ist aber zuweilen gar reitzend, mir wenigstens gefällt er recht gut, [...]“ (15:10-11)"
"20","224","0","106","5","20","„Die wenigsten Menschen wollen ja dasselbe, oder wollen überhaupt etwas Bestimmtes und nur eine sehr kleine Zahl will wirklich die Freiheit, [...]“ (14: 6-8)"
"21","224","0","106","5","21","„Armee der Freiheit“ (citing Herwegh 20:8-9)"
"22","224","0","106","5","22","„Freiheitsarmee“ (citing Herwegh 20:32)"
"23","224","0","106","5","23","peace cannot be bought (26:12-29)"
"24","224","0","106","5","24","„Nichts als der Widerschein des groβen Weltbrandes war, den Frankreich angezündet.“ (28:19-20)"
"25","224","0","106","5","25","„das eine groβe Ziel: die Freiheit Aller vor Augen“ (35:34-35)"
"26","224","0","106","5","26","„[...] Wer besagt Offizier dies auβerordentliche Vollmacht erteilt!“ (51:34-35)"
"27","224","0","106","5","27","„so fällt immer die Verantwortlichkeit auf den Führer, gleichviel, ob er sich um die Stelle beworben, sie aus Neigung oder nur aus Selbstverleugnung angenommen – [...]“ (13:33-35)"
"28","224","0","106","5","28","„Darum wehe denen, die regiert werden, aber nicht minder beklagenswerth die, welche regieren, [...]“ (13:41-42)"
